AM,SEP,CL,TeachingScore
66.926341594061,79.5599830538599,40,63.7709873999118
88.0084823644436,79.2060481429783,75,82.1030240714891
89.6397969520881,73.5777280807982,30,65
80.0608537856882,73.6087554790534,45,65
60.0585885507757,84.0508770069376,60,64.941374909692
67.1517895247034,79.8521125414987,40,63.8514927642191
55.5382878424891,85.2747164942673,60,65
88.760828837189,86.2779616413566,35,65
77.6490244292632,86.9374285021067,45,65
86.3276990351623,74.2585322608828,30,65
66.1275006034209,81.6521219454594,55,65.4693819385436
100,77.6764263551894,30,65
100,82.4003695399551,55,73.7001847699776
73.1424997458113,69.3827783993271,65,66.7843386001234
58.3409796740904,74.8124019491193,55,63.3040144376747
64.7864117959913,81.397296250154,45,64.9615252488247
75.2125398959646,77.8865886469385,65,71.5802400339872
74.106740843114,75.0221180099831,65,69.5634415708011
65.0848347830949,84.4032936470249,55,65.0411518551968
79.5892637260348,77.9082415227565,45,65
68.8641323131423,77.4436568839139,75,73.1538945985281
55.7721776567276,75.2147856461562,35,55.4934816514419
70.7264575580537,66.8232668528589,35,58.5138406992087
74.0281971616317,83.8642705483662,55,69.2577588455253
90.0057478325845,76.3862524882527,85,85
62.9800605253318,83.6059087335883,50,64.8944007507382
76.3770002287768,94.8655625880483,50,67.8442500571942
79.1070718790655,83.9532018952566,60,75.026531805306
42.9979866087306,80.9065764272932,75,64.7951227797826
81.0596592082413,77.8458308118505,60,72.7362374406892
60.6225088597701,80.5704753505457,35,60.5964921051579
70.1052472220043,66.5807618339464,15,51.2825000578804
100,81.1510281639863,55,73.0755140819932
98.0861407810878,71.0695497023008,20,65
87.4051634385765,79.7958064309551,45,65
72.6061916116852,74.4853440725234,35,61.7420842291449
62.1341737637562,76.8882146790247,45,63.8376516402186
80.9753094961881,79.5058082977207,20,63.8943789414857
71.6278673618451,87.1187303178916,75,78.3139336809226
55.2799853441559,74.2189433935414,75,67.3692650743552
74.6730470108176,80.1038314800676,85,82.4718748933772
61.7990948850832,77.4217406899753,35,59.6104177875292
91.6296070928578,67.6987091216941,45,65
68.0379260859803,81.5793968911938,35,63.5494869309476
84.9685378707187,87.0896977624674,35,65
67.0479282267275,80.7282764126594,55,65.8052595305815
75.6136399480585,75.7080579470353,45,65
77.3258086370587,79.0996817854717,50,67.1723747441393
70.1837252765648,81.9704748836368,60,68.2988854853606
100,87.2348853806195,40,65
87.0060983587708,82.2466528315921,30,65
92.9440737654157,86.1569674223643,40,65
100,81.8212139034597,50,69.2053034758649
80.815725230331,90.1469870369948,75,82.9078626151655
90.6797730224159,81.7004741058072,40,65
54.4226048502809,77.9918539099959,10,51.1208552833234
60.6238926655426,90.13296722256,65,65
34.9659006053904,85.3114600644802,25,45
62.9597222715162,83.9008459447898,55,64.9439355115246
68.2347608006591,78.4678650477703,25,59.5243597521747
63.9512768405805,81.3026094630282,30,61.5373532048451
91.7205593326883,75.5408550886189,20,65
62.1997495459467,91.6128892268954,40,64.2999373864867
