SweepValue,AM,AC,SEP,RC,CL
0,78.0710164200177,74.1109230288021,77.8168024990633,55.1854756885004,81.4411005343946
5,78.0710164200177,74.1109230288021,77.8168024990633,55.1854756885004,81.4411005343946
10,77.9463764209386,74.2155215876126,77.7163532236219,53.8361360883327,81.5422588497198
15,77.9463764209386,74.2155215876126,77.7163532236219,53.8361360883327,81.5422588497198
20,78.0770728155136,74.3299088362258,77.8294599722737,54.3688797713161,81.5883004080007
25,78.6191278960027,74.8008796130159,78.2998864351628,56.6975677931199,81.7713083727034
30,78.9724062064869,75.1510515811844,78.6546654400501,58.5844135822882,81.9009048907268
35,79.4158161752211,75.561226755562,79.0087587223533,61.093394154683,82.0745462939983
40,79.922253673415,76.1683970101923,79.4039316771987,63.9057568734425,82.3230972199914
45,80.5214539245105,77.4275264041599,79.9452284909115,67.1878863193131,82.7986017969179
50,81.1989594633388,78.8666146546872,80.5488621982807,70.4958660140911,83.2795204319569
55,81.5760466952479,80.1314529162582,81.1011545015342,73.4404066954624,83.6593168199093
60,81.9032357510053,81.4391194170341,81.6274838854755,76.3007308057132,84.1114739436446
65,82.3925324283798,83.0837006430323,82.180129186014,79.2201509804823,84.8110749388132
70,82.8544598367276,84.7341119115608,82.6886234734915,81.6195224452432,85.2875088226753
75,83.1169003498696,85.8084320735538,82.932723778938,82.961370175996,85.6567777060921
80,83.3113216243493,86.6625736465407,83.0969612453004,83.9366826533418,85.9765380821946
85,83.4516381884716,87.3172554083333,83.2175244272398,84.6405041911957,86.224935770831
90,83.644653353502,88.1977827090031,83.3820212688502,85.5091394522737,86.4608880807861
95,83.8385470800924,88.3331922716015,83.5402528784848,86.6603357801179,86.4835089572955
100,83.8385470800924,88.3331922716015,83.5402528784848,86.6603357801179,86.4835089572955
