AM,SEP,CL,TeachingScore
66.926341594061,79.5599830538599,40,62.2433127026436
88.0084823644436,79.2060481429783,75,80.263882871786
89.6397969520881,73.5777280807982,30,64.5864475160629
80.0608537856882,73.6087554790534,45,65.3645759045842
60.0585885507757,84.0508770069376,60,65.0104800111513
67.1517895247034,79.8521125414987,40,62.3591097787887
55.5382878424891,85.2747164942673,60,64.5478345496848
88.760828837189,86.2779616413566,35,64.8327439358661
77.6490244292632,86.9374285021067,45,66.3972413889913
86.3276990351623,74.2585322608828,30,63.790027974282
66.1275006034209,81.6521219454594,55,65.9612857772902
100,77.6764263551894,30,65
100,82.4003695399551,55,71.9930973506602
73.1424997458113,69.3827783993271,65,68.6201945143275
58.3409796740904,74.8124019491193,55,63.055124021576
64.7864117959913,81.397296250154,45,63.3986962343809
75.2125398959646,77.8865886469385,65,71.7477783937047
74.106740843114,75.0221180099831,65,70.5374883673866
65.0848347830949,84.4032936470249,55,65.8737214110804
79.5892637260348,77.9082415227565,45,65.8165971606947
68.8641323131423,77.4436568839139,75,73.3775929018713
55.7721776567276,75.2147856461562,35,55.3381196772588
70.7264575580537,66.8232668528589,35,58.7149720284062
74.0281971616317,83.8642705483662,55,68.4373239546148
90.0057478325845,76.3862524882527,85,82.7529403536717
62.9800605253318,83.6059087335883,50,64.5601216932399
76.3770002287768,94.8655625880483,50,68.7333398929013
79.1070718790655,83.9532018952566,60,71.9967268308928
42.9979866087306,80.9065764272932,75,64.9920359771674
81.0596592082413,77.8458308118505,60,70.8260684608251
60.6225088597701,80.5704753505457,35,58.7593395526733
70.1052472220043,66.5807618339464,15,52.329780965353
100,81.1510281639863,55,71.7003982950828
98.0861407810878,71.0695497023008,20,65
87.4051634385765,79.7958064309551,45,66.6322479913063
72.6061916116852,74.4853440725234,35,61.9850684734335
62.1341737637562,76.8882146790247,45,61.8756284526532
80.9753094961881,79.5058082977207,20,62.8532487307007
71.6278673618451,87.1187303178916,75,77.0926452138671
55.2799853441559,74.2189433935414,75,67.3863740063763
74.6730470108176,80.1038314800676,85,79.3554347871814
61.7990948850832,77.4217406899753,35,58.4285188634616
91.6296070928578,67.6987091216941,45,65.4808768746013
68.0379260859803,81.5793968911938,35,61.9401405070833
84.9685378707187,87.0896977624674,35,64.658511265777
67.0479282267275,80.7282764126594,55,66.1708351301004
75.6136399480585,75.7080579470353,45,65.1469110447713
77.3258086370587,79.0996817854717,50,67.3047469561013
70.1837252765648,81.9704748836368,60,68.2486561711231
100,87.2348853806195,40,65.525981052488
87.0060983587708,82.2466528315921,30,64.3921898683892
92.9440737654157,86.1569674223643,40,65.4041006771198
100,81.8212139034597,50,69.7123276323103
80.815725230331,90.1469870369948,75,81.5313185247887
90.6797730224159,81.7004741058072,40,65.3375478436036
54.4226048502809,77.9918539099959,10,50.8389838938556
60.6238926655426,90.13296722256,65,67.4025815489628
34.9659006053904,85.3114600644802,25,46.6434069077346
62.9597222715162,83.9008459447898,55,65.2338032395735
68.2347608006591,78.4678650477703,25,59.9610352446952
63.9512768405805,81.3026094630282,30,59.3433372268664
91.7205593326883,75.5408550886189,20,65
62.1997495459467,91.6128892268954,40,63.4776405919304
63.6187221221938,75.8193809434123,50,63.897286716151
76.4696700148771,77.0699964355227,10,61.1533059487254
62.2556559641762,68.6732374390748,95,70.6654414302038
83.4105396997885,82.5849704431375,30,64.0019683768325
69.7875331651739,88.487520870033,80,79.1795400843949
95.562865476307,72.9313707830004,50,67.9930679416602
86.1153402363518,93.0586006955356,45,67.1845669287188
64.3067945867577,81.7796434032168,20,58.4878283057332
87.0708492716915,74.8441636123057,40,64.712429573587
89.6643856058972,80.334488715062,60,74.3888170000683
89.0935168202471,95.9519958905332,60,77.0371467123971
41.0562604788617,79.8936409202465,60,60.2151979323607
67.2947190468691,94.4528207719423,75,76.4341994042932
45.1579118721844,78.4942564854766,50,58.8993488057852
100,89.1426675302691,45,68.4313427818268
80.3804172391116,76.8728083722771,55,68.7351457662153
71.1999911704796,87.7680639470599,85,81.110921661593
57.7969802042519,67.8995947535513,60,62.3517575884335
64.4867626312306,86.7383255529673,60,66.6856468353473
65.3183489586522,72.2290136916372,40,60.3931105655854
86.7281469320824,76.6027183999962,55,69.6352697838481
79.7349557946561,68.557168399327,85,77.1761673402891
94.1162616985795,75.4523342438889,70,78.3016930640191
73.8823560611074,82.0065347633782,55,68.1923779149286
40.4457919200303,88.7216816788516,65,63.5565877397952
89.7835459310871,82.8325517748135,55,72.0810043286901
90.3536652476136,82.7904124292197,30,64.8944516199383
76.9735316857991,85.4670899753355,35,64.0933757789002
84.0308326399858,79.583420335953,50,68.0264703731121
74.8977852412552,79.8434466327697,55,68.2132410728682
76.3206850577634,81.0022920701962,20,62.3190976630743
73.2753986197891,70.0950017157404,40,62.4589999765126
54.5762230802562,74.599921441867,45,58.7948440385786
63.1984336974417,67.6053317114086,55,62.8604716027058
39.9473928765326,83.5891993317699,30,48.5367725087993
81.1173255389587,92.9001574625528,30,65
65.7957278758892,83.3056583451631,85,77.0414083668508
75.4914000660704,77.2148883248267,75,75.8473588110817
85.561623291015,77.5130428043928,95,83.1979207358935
62.029923050498,83.0740885966206,25,58.3532080287373
70.6695818907109,73.7529455155815,20,57.602543843726
82.6915016669287,74.868618038308,55,68.5231508753264
52.5368070991048,82.0587059852525,65,65.3941772971825
53.2081931344318,77.7004492675164,45,59.4767238529483
62.9979688995541,65.4156404335947,30,52.1748659009108
50.3368656717897,68.9808258511845,15,46.856199441964
97.706551964187,79.8180120468694,55,71.4139592479036
85.9358314318642,82.9073603620567,75,80.4478613257469
78.1321136333481,77.0857758863334,35,63.2808546306906
91.2842173823938,91.7006171208697,65,82.6923076923077
84.4293865773938,94.5684932982651,75,82.5271126345107
61.8885032520991,74.8216487791447,20,53.3478393076473
100,76.0894042959418,40,65.3337774276551
76.4622305978707,87.5534728820756,55,69.7454007457783
82.6046449692501,80.6849505942636,55,69.8853030213851
90.371353181757,85.8441765895375,60,77.0305963729755
61.0815155938091,73.093140148491,45,60.8497083374704
61.6618473695939,80.9243131811166,20,56.559643681559
60.2515726683746,85.0707024352954,40,61.1166452504715
74.5293163043015,78.7537765751486,65,71.7585025703664
88.0313940761483,79.8808652539257,65,76.6734082588611
61.2778289144026,83.1867839463208,20,57.205289755801
75.5148624496356,90.8004326291252,55,70.0765765384051
71.2462114848419,75.1199567931073,65,69.708918154387
59.1365334712998,82.4800715372101,35,58.6020347843623
62.0802588873455,84.0778335756216,30,59.2241061522487
69.6966833783309,81.6917993620873,35,62.5892608176739
87.4426092766594,82.3794983653854,20,64.3075108640656
69.4688455580851,80.0403015828929,20,60.3777924271282
75.9237130272198,74.1849633497931,55,67.4831082246666
83.3705345877679,70.5346208009164,45,65.2048660337395
72.3542955316295,66.1750963699851,30,57.1859843771917
90.723620014919,78.1554879944452,25,64.925961142016
90.2067464248303,79.6409591940835,45,66.9399847206701
60.7684536404755,80.4827071002711,35,58.8017356317983
74.8394404248167,88.9983506209576,45,66.3102205584162
69.7275232098713,83.1030064302043,40,63.6193951938421
49.7568971816158,79.9702611355424,55,62.364135032621
59.260048262379,78.7422124918232,60,64.3663718358242
85.3468914704665,70.4641568734881,85,79.8842485757275
75.1115322217207,86.7230059582037,60,70.9556607974783
68.1453844282263,84.6913399730228,40,63.3880630108146
66.5452785039128,71.3116472962348,85,72.0580907109578
96.8508022646254,78.207799114081,50,69.1266755909158
60.3255067063988,77.9193974749622,50,63.1764261928908
58.0616997394655,80.4695424139101,10,53.7866747760593
74.5418628161822,76.576644489108,45,65.1242801693482
98.7716689148395,79.0531484120132,45,67.3476491820622
61.8243367091588,86.4077502351053,60,65.8041459985869
78.6182643016437,70.1899097394097,50,66.1385652898334
85.3121400945033,80.2158044614914,20,63.7162499996013
66.4906852300545,69.8211556525,45,62.1232572903388
89.8342579258274,74.9176701963488,65,74.306415890287
69.0974008002318,92.7355706959567,10,64.1754103553083
87.7989022050287,89.2559731498031,70,82.3558422010628
80.4786514793619,86.0760158457116,60,73.0566431423332
77.3737465752691,75.1765982168832,40,63.7741299582362
48.5021813400352,85.4731891719013,60,63.6150571689276
83.9712369266643,85.7223476220013,35,64.499520003469
66.6354437895208,83.8778802029954,60,67.1625961348858
57.0265582867811,73.4820365614434,95,70.0988530505108
42.7900215257344,89.1228344896611,65,64.1887241872938
78.3782123480038,83.7476920720318,50,67.8513289263353
80.5551596946559,78.8117571987878,65,73.8626192559617
46.7912093362337,87.1578759995497,35,54.9261312067095
75.7941154972172,77.1892725223223,60,69.3191700283451
64.4974508286555,86.0225660840947,35,61.6825111746026
78.2622795094666,71.30077121181,50,66.3865162153423
48.3043770929723,81.2110878330875,45,58.8836826317105
82.7956976151839,70.8502322826271,55,67.477718508084
69.66730712785,72.4411085886611,55,66.103204525047
100,68.6247155875251,55,68.0077236211016
54.7517283127388,74.8541865827682,75,67.4093996975565
